cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
13,Ciudad Real,2013,55.6975,30.54,38.69,4
13,Ciudad Real,2014,56.7875,33.0325,38.03,4
13,Ciudad Real,2015,55.1975,31.29,37.9275,4
13,Ciudad Real,2016,55.7625,26.2325,41.14,4
13,Ciudad Real,2017,55.949999999999996,24.4125,42.287499999999994,4
13,Ciudad Real,2018,55.105,20.1125,44.0125,4
13,Ciudad Real,2019,55.9425,18.259999999999998,45.7275,4
13,Ciudad Real,2020,54.06,17.8975,44.3725,4
13,Ciudad Real,2021,55.3175,17.732499999999998,45.5175,4
13,Ciudad Real,2022,55.455,19.355,44.715,4
13,Ciudad Real,2023,54.9075,16.475,45.8625,4
13,Ciudad Real,2024,55.325,16.9225,45.965,4
13,Ciudad Real,2025,55.66,15.235,47.175000000000004,4
13,Ciudad Real,2026,54.39,14,46.78,1
14,Córdoba,2002,49.2125,21.247500000000002,38.7525,4
14,Córdoba,2003,51.245000000000005,21.085,40.415,4
14,Córdoba,2004,54.0925,20.835,42.8125,4
14,Córdoba,2005,51.6225,14.845,43.96,4
14,Córdoba,2006,53.78,14.485,45.989999999999995,4
14,Córdoba,2007,54.69,13.78,47.15,4
14,Córdoba,2008,56.269999999999996,16.322499999999998,47.08,4
14,Córdoba,2009,58.12,26.0025,43.0075,4
14,Córdoba,2010,58.2825,28.06,41.94,4
14,Córdoba,2011,58.5475,31.6225,40.037499999999994,4
14,Córdoba,2012,57.725,34.6475,37.7325,4
14,Córdoba,2013,57.730000000000004,35.162499999999994,37.435,4
14,Córdoba,2014,56.78,33.64,37.685,4
14,Córdoba,2015,56.84,29.987499999999997,39.7975,4
14,Córdoba,2016,58.2325,30.245,40.615,4
14,Córdoba,2017,57.625,28.17,41.3875,4
14,Córdoba,2018,56.545,24.737499999999997,42.55,4
14,Córdoba,2019,56.805,23.060000000000002,43.695,4
14,Córdoba,2020,56.082499999999996,24.255,42.480000000000004,4
14,Córdoba,2021,57.3125,21.052500000000002,45.235,4
14,Córdoba,2022,55.1175,19.4175,44.415,4
