cod_provincia,provincia,anio,numero_hipotecas_vivienda,importe_total_hipotecas_vivienda_miles_eur,meses_disponibles,importe_medio_hipoteca_eur
13,Ciudad Real,2017,1815,141893,12,78177.96143250688
13,Ciudad Real,2018,1943,147804,12,76069.99485331961
13,Ciudad Real,2019,2237,174391,12,77957.53240947697
13,Ciudad Real,2020,1899,152005,12,80044.76040021064
13,Ciudad Real,2021,2740,218502,12,79745.25547445256
13,Ciudad Real,2022,2783,225405,12,80993.53215954006
13,Ciudad Real,2023,2406,198427,12,82471.73732335828
13,Ciudad Real,2024,2934,228603,12,77915.13292433538
13,Ciudad Real,2025,4082,355444,12,87075.94316511514
13,Ciudad Real,2026,638,61335,2,96136.36363636363
14,Córdoba,2003,11732,822896,12,70141.15240368224
14,Córdoba,2004,12804,1091322,12,85232.89597000937
14,Córdoba,2005,15989,1435910,12,89806.11670523485
14,Córdoba,2006,18871,2086465,12,110564.62296645647
14,Córdoba,2007,17326,2072502,12,119618.0307052984
14,Córdoba,2008,10515,1126147,12,107099.09652876842
14,Córdoba,2009,8698,826983,12,95077.37410899057
14,Córdoba,2010,8114,776805,12,95736.38156273108
14,Córdoba,2011,5947,546433,12,91883.80696149319
14,Córdoba,2012,4118,353861,12,85930.30597377368
14,Córdoba,2013,3482,291667,12,83764.21596783458
14,Córdoba,2014,2925,242639,12,82953.50427350428
14,Córdoba,2015,3650,293084,12,80296.98630136986
14,Córdoba,2016,4521,392035,12,86714.22251714223
14,Córdoba,2017,4671,389858,12,83463.49818026119
14,Córdoba,2018,5029,461965,12,91860.21077749056
14,Córdoba,2019,5282,505053,12,95617.75842483908
14,Córdoba,2020,4878,505530,12,103634.68634686347
14,Córdoba,2021,6527,662944,12,101569.48061896737
14,Córdoba,2022,6679,667015,12,99867.49513400209
14,Córdoba,2023,5764,618408,12,107287.9944482998
14,Córdoba,2024,6415,717788,12,111892.1278254092
14,Córdoba,2025,7197,797919,12,110868.2784493539
14,Córdoba,2026,1228,144834,2,117942.996742671
15,"Coruña, A",2003,18367,1543393,12,84030.7616921653
15,"Coruña, A",2004,18617,1677121,12,90085.45952623946
15,"Coruña, A",2005,19023,1908332,12,100317.0898386164
15,"Coruña, A",2006,18207,2032272,12,111620.36579337617
15,"Coruña, A",2007,17655,2167639,12,122777.62673463608
15,"Coruña, A",2008,16312,1822739,12,111742.21432074546
15,"Coruña, A",2009,14642,1580928,12,107972.13495424122
15,"Coruña, A",2010,13724,1459280,12,106330.51588458175
15,"Coruña, A",2011,8852,887117,12,100216.56122910077
15,"Coruña, A",2012,5456,491605,12,90103.55571847508
15,"Coruña, A",2013,4094,391389,12,95600.63507572057
15,"Coruña, A",2014,4156,379089,12,91214.87006737247
15,"Coruña, A",2015,4633,450220,12,97176.77530757608
15,"Coruña, A",2016,4419,424718,12,96111.78999773704
15,"Coruña, A",2017,5047,503447,12,99751.73370319001
15,"Coruña, A",2018,5349,536624,12,100322.3032342494
15,"Coruña, A",2019,5399,546715,12,101262.2707908872
15,"Coruña, A",2020,5172,548150,12,105984.14539829853
15,"Coruña, A",2021,6464,718356,12,111131.80693069307
15,"Coruña, A",2022,7396,863587,12,116764.06165494861
15,"Coruña, A",2023,5532,651195,12,117714.2082429501
15,"Coruña, A",2024,7125,869921,12,122094.17543859649
15,"Coruña, A",2025,9147,1134745,12,124056.52126380234
15,"Coruña, A",2026,1522,236287,2,155247.70039421815
16,Cuenca,2003,2897,215403,12,74353.81429064549
16,Cuenca,2004,3486,290769,12,83410.49913941481
16,Cuenca,2005,3567,318207,12,89208.57863751051
16,Cuenca,2006,4113,447533,12,108809.38487721857
16,Cuenca,2007,5376,634905,12,118099.88839285714
16,Cuenca,2008,3518,425029,12,120815.52018192154
16,Cuenca,2009,2424,262085,12,108120.87458745875
16,Cuenca,2010,1634,155905,12,95413.09669522644
16,Cuenca,2011,1189,113045,12,95075.69386038688
16,Cuenca,2012,683,58252,12,85288.43338213763
16,Cuenca,2013,591,45571,12,77108.2910321489
16,Cuenca,2014,559,43125,12,77146.69051878354
16,Cuenca,2015,665,47913,12,72049.62406015038
16,Cuenca,2016,735,55614,12,75665.30612244898
16,Cuenca,2017,846,65271,12,77152.48226950354
16,Cuenca,2018,846,64691,12,76466.90307328606
16,Cuenca,2019,862,63989,12,74233.17865429234
16,Cuenca,2020,849,63792,12,75137.80918727916
16,Cuenca,2021,1082,86447,12,79895.56377079482
16,Cuenca,2022,1126,92176,12,81861.45648312611
16,Cuenca,2023,945,73945,12,78248.67724867725
16,Cuenca,2024,1244,125580,12,100948.55305466238
16,Cuenca,2025,1339,129215,12,96501.12023898432
16,Cuenca,2026,256,29054,2,113492.1875
17,Girona,2003,24795,2469402,12,99592.74047186933
17,Girona,2004,27473,3203888,12,116619.51734430168
17,Girona,2005,29915,4137998,12,138325.1880327595
17,Girona,2006,32520,5349515,12,164499.2312423124
17,Girona,2007,27714,5012402,12,180861.73053330448
17,Girona,2008,15719,2499527,12,159013.1051593613
17,Girona,2009,14477,1785326,12,123321.54451889204
17,Girona,2010,12710,1533380,12,120643.58772619984
17,Girona,2011,8452,1007728,12,119229.53147184098
17,Girona,2012,6212,644671,12,103778.33226014166
17,Girona,2013,4338,438704,12,101130.47487321346
17,Girona,2014,3989,414835,12,103994.73552268739
17,Girona,2015,4638,498533,12,107488.78827080638
17,Girona,2016,5900,667876,12,113199.32203389831
17,Girona,2017,5538,674993,12,121883.89310220296
17,Girona,2018,5845,728777,12,124683.83233532934
17,Girona,2019,6265,778289,12,124228.09257781325
17,Girona,2020,5536,757739,12,136874.81936416184
17,Girona,2021,7494,1055214,12,140807.84627702163
17,Girona,2022,9056,1339556,12,147919.1696113074
17,Girona,2023,7303,1058490,12,144939.0661372039
17,Girona,2024,7379,1107799,12,150128.60821249493
17,Girona,2025,9220,1602150,12,173768.98047722343
17,Girona,2026,1727,297761,2,172415.1708164447
18,Granada,2003,13769,1095584,12,79568.88662938486
18,Granada,2004,17938,1680410,12,93678.78247296243
18,Granada,2005,21098,2241344,12,106234.90378234904
18,Granada,2006,23119,2731247,12,118138.6305636057
18,Granada,2007,23708,3061476,12,129132.61346380968
18,Granada,2008,15220,1847437,12,121382.19448094613
18,Granada,2009,11994,1169503,12,97507.33700183425
18,Granada,2010,11049,1001844,12,90672.82106978007
18,Granada,2011,7781,668811,12,85954.37604421025
18,Granada,2012,5210,459475,12,88190.97888675623
18,Granada,2013,3796,310430,12,81778.1875658588
18,Granada,2014,3558,283082,12,79562.11354693648
18,Granada,2015,4799,390449,12,81360.49176911857
18,Granada,2016,5785,485480,12,83920.48401037166
18,Granada,2017,6796,598110,12,88009.12301353738
18,Granada,2018,6874,635650,12,92471.63223741636
18,Granada,2019,6868,639429,12,93102.64997087944
18,Granada,2020,6153,596396,12,96927.6775556639
18,Granada,2021,8353,849709,12,101725.00897881
18,Granada,2022,8697,938503,12,107911.11877658963
18,Granada,2023,7238,762885,12,105399.97236805747
18,Granada,2024,8481,951425,12,112183.1151986794
18,Granada,2025,9826,1229384,12,125115.40810095664
18,Granada,2026,1927,240998,2,125063.82978723405
19,Guadalajara,2003,6560,657458,12,100222.25609756098
19,Guadalajara,2004,7305,879559,12,120405.0650239562
19,Guadalajara,2005,8827,1223373,12,138594.42619236434
19,Guadalajara,2006,9021,1417954,12,157183.68251856777
19,Guadalajara,2007,9806,1607976,12,163978.78849683868
19,Guadalajara,2008,6122,917201,12,149820.48350212348
19,Guadalajara,2009,4121,509055,12,123527.05653967484
19,Guadalajara,2010,3260,400906,12,122977.30061349693
19,Guadalajara,2011,2486,279443,12,112406.67739340306
19,Guadalajara,2012,1924,192163,12,99876.81912681913
19,Guadalajara,2013,982,85296,12,86859.47046843177
19,Guadalajara,2014,1222,105708,12,86504.09165302782
19,Guadalajara,2015,1381,116432,12,84309.92034757423
19,Guadalajara,2016,1728,156924,12,90812.5
19,Guadalajara,2017,2040,194816,12,95498.03921568628
19,Guadalajara,2018,2762,290205,12,105070.60101375815
19,Guadalajara,2019,2790,292371,12,104792.47311827957
