Provincias;Tasas;Sexo;Periodo;Total
40 Segovia;Tasa de paro de la población;Ambos sexos;2012T4;20,88
40 Segovia;Tasa de paro de la población;Ambos sexos;2012T3;18,65
40 Segovia;Tasa de paro de la población;Ambos sexos;2012T2;19,46
40 Segovia;Tasa de paro de la población;Ambos sexos;2012T1;19,91
40 Segovia;Tasa de paro de la población;Ambos sexos;2011T4;15,75
40 Segovia;Tasa de paro de la población;Ambos sexos;2011T3;14,12
40 Segovia;Tasa de paro de la población;Ambos sexos;2011T2;12,76
40 Segovia;Tasa de paro de la población;Ambos sexos;2011T1;12,98
40 Segovia;Tasa de paro de la población;Ambos sexos;2010T4;10,78
40 Segovia;Tasa de paro de la población;Ambos sexos;2010T3;11,35
40 Segovia;Tasa de paro de la población;Ambos sexos;2010T2;13,86
40 Segovia;Tasa de paro de la población;Ambos sexos;2010T1;11,70
40 Segovia;Tasa de paro de la población;Ambos sexos;2009T4;10,08
40 Segovia;Tasa de paro de la población;Ambos sexos;2009T3;11,50
40 Segovia;Tasa de paro de la población;Ambos sexos;2009T2;13,53
40 Segovia;Tasa de paro de la población;Ambos sexos;2009T1;15,68
40 Segovia;Tasa de paro de la población;Ambos sexos;2008T4;10,78
40 Segovia;Tasa de paro de la población;Ambos sexos;2008T3;8,62
40 Segovia;Tasa de paro de la población;Ambos sexos;2008T2;10,50
40 Segovia;Tasa de paro de la población;Ambos sexos;2008T1;11,67
40 Segovia;Tasa de paro de la población;Ambos sexos;2007T4;6,16
40 Segovia;Tasa de paro de la población;Ambos sexos;2007T3;5,44
40 Segovia;Tasa de paro de la población;Ambos sexos;2007T2;5,59
40 Segovia;Tasa de paro de la población;Ambos sexos;2007T1;5,20
40 Segovia;Tasa de paro de la población;Ambos sexos;2006T4;6,24
40 Segovia;Tasa de paro de la población;Ambos sexos;2006T3;7,83
40 Segovia;Tasa de paro de la población;Ambos sexos;2006T2;8,61
40 Segovia;Tasa de paro de la población;Ambos sexos;2006T1;7,42
40 Segovia;Tasa de paro de la población;Ambos sexos;2005T4;4,96
40 Segovia;Tasa de paro de la población;Ambos sexos;2005T3;6,50
40 Segovia;Tasa de paro de la población;Ambos sexos;2005T2;7,28
40 Segovia;Tasa de paro de la población;Ambos sexos;2005T1;8,68
40 Segovia;Tasa de paro de la población;Ambos sexos;2004T4;8,04
40 Segovia;Tasa de paro de la población;Ambos sexos;2004T3;6,06
40 Segovia;Tasa de paro de la población;Ambos sexos;2004T2;10,49
40 Segovia;Tasa de paro de la población;Ambos sexos;2004T1;10,09
40 Segovia;Tasa de paro de la población;Ambos sexos;2003T4;9,10
40 Segovia;Tasa de paro de la población;Ambos sexos;2003T3;8,03
40 Segovia;Tasa de paro de la población;Ambos sexos;2003T2;11,56
40 Segovia;Tasa de paro de la población;Ambos sexos;2003T1;10,69
40 Segovia;Tasa de paro de la población;Ambos sexos;2002T4;10,57
40 Segovia;Tasa de paro de la población;Ambos sexos;2002T3;10,27
40 Segovia;Tasa de paro de la población;Ambos sexos;2002T2;8,94
40 Segovia;Tasa de paro de la población;Ambos sexos;2002T1;8,52
40 Segovia;Tasa de empleo de la población;Ambos sexos;2026T1;53,55
40 Segovia;Tasa de empleo de la población;Ambos sexos;2025T4;53,27
40 Segovia;Tasa de empleo de la población;Ambos sexos;2025T3;55,02
40 Segovia;Tasa de empleo de la población;Ambos sexos;2025T2;54,16
40 Segovia;Tasa de empleo de la población;Ambos sexos;2025T1;54,11
40 Segovia;Tasa de empleo de la población;Ambos sexos;2024T4;54,92
40 Segovia;Tasa de empleo de la población;Ambos sexos;2024T3;54,37
40 Segovia;Tasa de empleo de la población;Ambos sexos;2024T2;55,31
40 Segovia;Tasa de empleo de la población;Ambos sexos;2024T1;54,66
40 Segovia;Tasa de empleo de la población;Ambos sexos;2023T4;53,66
40 Segovia;Tasa de empleo de la población;Ambos sexos;2023T3;53,20
40 Segovia;Tasa de empleo de la población;Ambos sexos;2023T2;56,76
40 Segovia;Tasa de empleo de la población;Ambos sexos;2023T1;53,06
40 Segovia;Tasa de empleo de la población;Ambos sexos;2022T4;52,51
40 Segovia;Tasa de empleo de la población;Ambos sexos;2022T3;53,13
40 Segovia;Tasa de empleo de la población;Ambos sexos;2022T2;53,88
40 Segovia;Tasa de empleo de la población;Ambos sexos;2022T1;51,83
40 Segovia;Tasa de empleo de la población;Ambos sexos;2021T4;51,44
