Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;08 Barcelona;Vivienda nueva;2014;821
Total;08 Barcelona;Vivienda segunda mano;2025;1.902
Total;08 Barcelona;Vivienda segunda mano;2024;1.622
Total;08 Barcelona;Vivienda segunda mano;2023;1.514
Total;08 Barcelona;Vivienda segunda mano;2022;1.840
Total;08 Barcelona;Vivienda segunda mano;2021;2.286
Total;08 Barcelona;Vivienda segunda mano;2020;1.980
Total;08 Barcelona;Vivienda segunda mano;2019;2.530
Total;08 Barcelona;Vivienda segunda mano;2018;2.015
Total;08 Barcelona;Vivienda segunda mano;2017;2.002
Total;08 Barcelona;Vivienda segunda mano;2016;3.606
Total;08 Barcelona;Vivienda segunda mano;2015;6.056
Total;08 Barcelona;Vivienda segunda mano;2014;8.205
Total;48 Bizkaia;General;2025;133
Total;48 Bizkaia;General;2024;112
Total;48 Bizkaia;General;2023;86
Total;48 Bizkaia;General;2022;104
Total;48 Bizkaia;General;2021;155
Total;48 Bizkaia;General;2020;71
Total;48 Bizkaia;General;2019;48
Total;48 Bizkaia;General;2018;52
Total;48 Bizkaia;General;2017;76
Total;48 Bizkaia;General;2016;75
Total;48 Bizkaia;General;2015;163
Total;48 Bizkaia;General;2014;215
Total;48 Bizkaia;Vivienda nueva;2025;1
Total;48 Bizkaia;Vivienda nueva;2024;1
Total;48 Bizkaia;Vivienda nueva;2023;1
Total;48 Bizkaia;Vivienda nueva;2022;3
Total;48 Bizkaia;Vivienda nueva;2021;2
Total;48 Bizkaia;Vivienda nueva;2020;3
Total;48 Bizkaia;Vivienda nueva;2019;2
Total;48 Bizkaia;Vivienda nueva;2018;2
Total;48 Bizkaia;Vivienda nueva;2017;3
Total;48 Bizkaia;Vivienda nueva;2016;4
Total;48 Bizkaia;Vivienda nueva;2015;5
Total;48 Bizkaia;Vivienda nueva;2014;22
Total;48 Bizkaia;Vivienda segunda mano;2025;132
Total;48 Bizkaia;Vivienda segunda mano;2024;111
Total;48 Bizkaia;Vivienda segunda mano;2023;85
Total;48 Bizkaia;Vivienda segunda mano;2022;101
Total;48 Bizkaia;Vivienda segunda mano;2021;153
Total;48 Bizkaia;Vivienda segunda mano;2020;68
Total;48 Bizkaia;Vivienda segunda mano;2019;46
Total;48 Bizkaia;Vivienda segunda mano;2018;50
Total;48 Bizkaia;Vivienda segunda mano;2017;73
Total;48 Bizkaia;Vivienda segunda mano;2016;71
Total;48 Bizkaia;Vivienda segunda mano;2015;158
Total;48 Bizkaia;Vivienda segunda mano;2014;193
Total;09 Burgos;General;2025;46
Total;09 Burgos;General;2024;53
Total;09 Burgos;General;2023;34
Total;09 Burgos;General;2022;54
Total;09 Burgos;General;2021;76
Total;09 Burgos;General;2020;89
Total;09 Burgos;General;2019;157
Total;09 Burgos;General;2018;107
Total;09 Burgos;General;2017;79
Total;09 Burgos;General;2016;140
Total;09 Burgos;General;2015;293
Total;09 Burgos;General;2014;502
Total;09 Burgos;Vivienda nueva;2025;1
Total;09 Burgos;Vivienda nueva;2024;0
Total;09 Burgos;Vivienda nueva;2023;0
Total;09 Burgos;Vivienda nueva;2022;1
Total;09 Burgos;Vivienda nueva;2021;0
Total;09 Burgos;Vivienda nueva;2020;1
Total;09 Burgos;Vivienda nueva;2019;4
Total;09 Burgos;Vivienda nueva;2018;25
Total;09 Burgos;Vivienda nueva;2017;2
Total;09 Burgos;Vivienda nueva;2016;0
Total;09 Burgos;Vivienda nueva;2015;39
Total;09 Burgos;Vivienda nueva;2014;1
Total;09 Burgos;Vivienda segunda mano;2025;45
Total;09 Burgos;Vivienda segunda mano;2024;53
Total;09 Burgos;Vivienda segunda mano;2023;34
Total;09 Burgos;Vivienda segunda mano;2022;53
Total;09 Burgos;Vivienda segunda mano;2021;76
Total;09 Burgos;Vivienda segunda mano;2020;88
Total;09 Burgos;Vivienda segunda mano;2019;153
Total;09 Burgos;Vivienda segunda mano;2018;82
Total;09 Burgos;Vivienda segunda mano;2017;77
Total;09 Burgos;Vivienda segunda mano;2016;140
Total;09 Burgos;Vivienda segunda mano;2015;254
Total;09 Burgos;Vivienda segunda mano;2014;501
Total;10 Cáceres;General;2025;97
Total;10 Cáceres;General;2024;57
Total;10 Cáceres;General;2023;53
Total;10 Cáceres;General;2022;49
Total;10 Cáceres;General;2021;52
Total;10 Cáceres;General;2020;37
Total;10 Cáceres;General;2019;215
Total;10 Cáceres;General;2018;177
Total;10 Cáceres;General;2017;112
Total;10 Cáceres;General;2016;179
Total;10 Cáceres;General;2015;235
Total;10 Cáceres;General;2014;349
Total;10 Cáceres;Vivienda nueva;2025;1
Total;10 Cáceres;Vivienda nueva;2024;2
Total;10 Cáceres;Vivienda nueva;2023;0
Total;10 Cáceres;Vivienda nueva;2022;2
Total;10 Cáceres;Vivienda nueva;2021;1
Total;10 Cáceres;Vivienda nueva;2020;1
Total;10 Cáceres;Vivienda nueva;2019;3
Total;10 Cáceres;Vivienda nueva;2018;50
Total;10 Cáceres;Vivienda nueva;2017;2
Total;10 Cáceres;Vivienda nueva;2016;6
Total;10 Cáceres;Vivienda nueva;2015;16
Total;10 Cáceres;Vivienda nueva;2014;25
Total;10 Cáceres;Vivienda segunda mano;2025;96
Total;10 Cáceres;Vivienda segunda mano;2024;55
Total;10 Cáceres;Vivienda segunda mano;2023;53
Total;10 Cáceres;Vivienda segunda mano;2022;47
Total;10 Cáceres;Vivienda segunda mano;2021;51
Total;10 Cáceres;Vivienda segunda mano;2020;36
Total;10 Cáceres;Vivienda segunda mano;2019;212
Total;10 Cáceres;Vivienda segunda mano;2018;127
Total;10 Cáceres;Vivienda segunda mano;2017;110
Total;10 Cáceres;Vivienda segunda mano;2016;173
Total;10 Cáceres;Vivienda segunda mano;2015;219
Total;10 Cáceres;Vivienda segunda mano;2014;324
Total;11 Cádiz;General;2025;562
Total;11 Cádiz;General;2024;429
Total;11 Cádiz;General;2023;673
Total;11 Cádiz;General;2022;489
Total;11 Cádiz;General;2021;564
Total;11 Cádiz;General;2020;366
Total;11 Cádiz;General;2019;454
Total;11 Cádiz;General;2018;534
Total;11 Cádiz;General;2017;937
Total;11 Cádiz;General;2016;1.490
Total;11 Cádiz;General;2015;1.966
Total;11 Cádiz;General;2014;2.095
Total;11 Cádiz;Vivienda nueva;2025;53
Total;11 Cádiz;Vivienda nueva;2024;49
Total;11 Cádiz;Vivienda nueva;2023;51
Total;11 Cádiz;Vivienda nueva;2022;45
Total;11 Cádiz;Vivienda nueva;2021;39
Total;11 Cádiz;Vivienda nueva;2020;18
Total;11 Cádiz;Vivienda nueva;2019;175
Total;11 Cádiz;Vivienda nueva;2018;88
Total;11 Cádiz;Vivienda nueva;2017;118
Total;11 Cádiz;Vivienda nueva;2016;195
Total;11 Cádiz;Vivienda nueva;2015;366
Total;11 Cádiz;Vivienda nueva;2014;849
Total;11 Cádiz;Vivienda segunda mano;2025;509
Total;11 Cádiz;Vivienda segunda mano;2024;380
Total;11 Cádiz;Vivienda segunda mano;2023;622
Total;11 Cádiz;Vivienda segunda mano;2022;444
Total;11 Cádiz;Vivienda segunda mano;2021;525
Total;11 Cádiz;Vivienda segunda mano;2020;348
Total;11 Cádiz;Vivienda segunda mano;2019;279
Total;11 Cádiz;Vivienda segunda mano;2018;446
Total;11 Cádiz;Vivienda segunda mano;2017;819
Total;11 Cádiz;Vivienda segunda mano;2016;1.295
Total;11 Cádiz;Vivienda segunda mano;2015;1.600
Total;11 Cádiz;Vivienda segunda mano;2014;1.246
Total;39 Cantabria;General;2025;106
Total;39 Cantabria;General;2024;107
Total;39 Cantabria;General;2023;92
Total;39 Cantabria;General;2022;128
Total;39 Cantabria;General;2021;169
Total;39 Cantabria;General;2020;491
Total;39 Cantabria;General;2019;372
Total;39 Cantabria;General;2018;433
Total;39 Cantabria;General;2017;222
Total;39 Cantabria;General;2016;406
Total;39 Cantabria;General;2015;405
Total;39 Cantabria;General;2014;516
Total;39 Cantabria;Vivienda nueva;2025;7
Total;39 Cantabria;Vivienda nueva;2024;4
Total;39 Cantabria;Vivienda nueva;2023;7
Total;39 Cantabria;Vivienda nueva;2022;9
Total;39 Cantabria;Vivienda nueva;2021;12
Total;39 Cantabria;Vivienda nueva;2020;24
Total;39 Cantabria;Vivienda nueva;2019;60
Total;39 Cantabria;Vivienda nueva;2018;56
Total;39 Cantabria;Vivienda nueva;2017;6
Total;39 Cantabria;Vivienda nueva;2016;28
Total;39 Cantabria;Vivienda nueva;2015;69
Total;39 Cantabria;Vivienda nueva;2014;79
Total;39 Cantabria;Vivienda segunda mano;2025;99
Total;39 Cantabria;Vivienda segunda mano;2024;103
Total;39 Cantabria;Vivienda segunda mano;2023;85
Total;39 Cantabria;Vivienda segunda mano;2022;119
