Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;49 Zamora;Vivienda nueva;2021;2
Total;49 Zamora;Vivienda nueva;2020;0
Total;49 Zamora;Vivienda nueva;2019;0
Total;49 Zamora;Vivienda nueva;2018;0
Total;49 Zamora;Vivienda nueva;2017;0
Total;49 Zamora;Vivienda nueva;2016;49
Total;49 Zamora;Vivienda nueva;2015;0
Total;49 Zamora;Vivienda nueva;2014;1
Total;49 Zamora;Vivienda segunda mano;2025;36
Total;49 Zamora;Vivienda segunda mano;2024;19
Total;49 Zamora;Vivienda segunda mano;2023;21
Total;49 Zamora;Vivienda segunda mano;2022;21
Total;49 Zamora;Vivienda segunda mano;2021;33
Total;49 Zamora;Vivienda segunda mano;2020;66
Total;49 Zamora;Vivienda segunda mano;2019;63
Total;49 Zamora;Vivienda segunda mano;2018;26
Total;49 Zamora;Vivienda segunda mano;2017;51
Total;49 Zamora;Vivienda segunda mano;2016;35
Total;49 Zamora;Vivienda segunda mano;2015;61
Total;49 Zamora;Vivienda segunda mano;2014;116
Total;50 Zaragoza;General;2025;227
Total;50 Zaragoza;General;2024;207
Total;50 Zaragoza;General;2023;140
Total;50 Zaragoza;General;2022;285
Total;50 Zaragoza;General;2021;238
Total;50 Zaragoza;General;2020;304
Total;50 Zaragoza;General;2019;298
Total;50 Zaragoza;General;2018;264
Total;50 Zaragoza;General;2017;336
Total;50 Zaragoza;General;2016;666
Total;50 Zaragoza;General;2015;904
Total;50 Zaragoza;General;2014;1.143
Total;50 Zaragoza;Vivienda nueva;2025;7
Total;50 Zaragoza;Vivienda nueva;2024;19
Total;50 Zaragoza;Vivienda nueva;2023;6
Total;50 Zaragoza;Vivienda nueva;2022;64
Total;50 Zaragoza;Vivienda nueva;2021;7
Total;50 Zaragoza;Vivienda nueva;2020;28
Total;50 Zaragoza;Vivienda nueva;2019;27
Total;50 Zaragoza;Vivienda nueva;2018;7
Total;50 Zaragoza;Vivienda nueva;2017;25
Total;50 Zaragoza;Vivienda nueva;2016;34
Total;50 Zaragoza;Vivienda nueva;2015;61
Total;50 Zaragoza;Vivienda nueva;2014;95
Total;50 Zaragoza;Vivienda segunda mano;2025;220
Total;50 Zaragoza;Vivienda segunda mano;2024;188
Total;50 Zaragoza;Vivienda segunda mano;2023;134
Total;50 Zaragoza;Vivienda segunda mano;2022;221
Total;50 Zaragoza;Vivienda segunda mano;2021;231
Total;50 Zaragoza;Vivienda segunda mano;2020;276
Total;50 Zaragoza;Vivienda segunda mano;2019;271
Total;50 Zaragoza;Vivienda segunda mano;2018;257
Total;50 Zaragoza;Vivienda segunda mano;2017;311
Total;50 Zaragoza;Vivienda segunda mano;2016;632
Total;50 Zaragoza;Vivienda segunda mano;2015;843
Total;50 Zaragoza;Vivienda segunda mano;2014;1.048
Total;51 Ceuta;General;2025;16
Total;51 Ceuta;General;2024;6
Total;51 Ceuta;General;2023;7
Total;51 Ceuta;General;2022;9
Total;51 Ceuta;General;2021;30
Total;51 Ceuta;General;2020;25
Total;51 Ceuta;General;2019;2
Total;51 Ceuta;General;2018;6
Total;51 Ceuta;General;2017;47
Total;51 Ceuta;General;2016;12
Total;51 Ceuta;General;2015;17
Total;51 Ceuta;General;2014;32
Total;51 Ceuta;Vivienda nueva;2025;1
Total;51 Ceuta;Vivienda nueva;2024;0
Total;51 Ceuta;Vivienda nueva;2023;0
Total;51 Ceuta;Vivienda nueva;2022;0
Total;51 Ceuta;Vivienda nueva;2021;17
Total;51 Ceuta;Vivienda nueva;2020;4
Total;51 Ceuta;Vivienda nueva;2019;0
Total;51 Ceuta;Vivienda nueva;2018;0
Total;51 Ceuta;Vivienda nueva;2017;17
Total;51 Ceuta;Vivienda nueva;2016;0
Total;51 Ceuta;Vivienda nueva;2015;1
Total;51 Ceuta;Vivienda nueva;2014;1
Total;51 Ceuta;Vivienda segunda mano;2025;15
Total;51 Ceuta;Vivienda segunda mano;2024;6
Total;51 Ceuta;Vivienda segunda mano;2023;7
Total;51 Ceuta;Vivienda segunda mano;2022;9
Total;51 Ceuta;Vivienda segunda mano;2021;13
Total;51 Ceuta;Vivienda segunda mano;2020;21
Total;51 Ceuta;Vivienda segunda mano;2019;2
Total;51 Ceuta;Vivienda segunda mano;2018;6
Total;51 Ceuta;Vivienda segunda mano;2017;30
Total;51 Ceuta;Vivienda segunda mano;2016;12
Total;51 Ceuta;Vivienda segunda mano;2015;16
Total;51 Ceuta;Vivienda segunda mano;2014;31
Total;52 Melilla;General;2025;8
Total;52 Melilla;General;2024;10
Total;52 Melilla;General;2023;3
Total;52 Melilla;General;2022;2
Total;52 Melilla;General;2021;4
Total;52 Melilla;General;2020;4
Total;52 Melilla;General;2019;5
Total;52 Melilla;General;2018;7
Total;52 Melilla;General;2017;13
Total;52 Melilla;General;2016;30
Total;52 Melilla;General;2015;21
Total;52 Melilla;General;2014;8
Total;52 Melilla;Vivienda nueva;2025;3
Total;52 Melilla;Vivienda nueva;2024;0
Total;52 Melilla;Vivienda nueva;2023;0
Total;52 Melilla;Vivienda nueva;2022;1
Total;52 Melilla;Vivienda nueva;2021;0
Total;52 Melilla;Vivienda nueva;2020;0
Total;52 Melilla;Vivienda nueva;2019;2
Total;52 Melilla;Vivienda nueva;2018;0
Total;52 Melilla;Vivienda nueva;2017;3
Total;52 Melilla;Vivienda nueva;2016;2
Total;52 Melilla;Vivienda nueva;2015;17
Total;52 Melilla;Vivienda nueva;2014;0
Total;52 Melilla;Vivienda segunda mano;2025;5
Total;52 Melilla;Vivienda segunda mano;2024;10
Total;52 Melilla;Vivienda segunda mano;2023;3
Total;52 Melilla;Vivienda segunda mano;2022;1
Total;52 Melilla;Vivienda segunda mano;2021;4
Total;52 Melilla;Vivienda segunda mano;2020;4
Total;52 Melilla;Vivienda segunda mano;2019;3
Total;52 Melilla;Vivienda segunda mano;2018;7
Total;52 Melilla;Vivienda segunda mano;2017;10
Total;52 Melilla;Vivienda segunda mano;2016;28
Total;52 Melilla;Vivienda segunda mano;2015;4
Total;52 Melilla;Vivienda segunda mano;2014;8
